Date,Closing Price,Open,Daily High,Daily Low
5/13/2015,2114.16,2100.1,2115.36,2100.08
5/14/2015,2120.33,2115.59,2121.68,2111.72
5/15/2015,2106.5,2132.53,2134.36,2104.77
5/18/2015,2113.72,2108.15,2113.72,2099.48
5/19/2015,2120.85,2114.29,2126.89,2107.62
5/20/2015,2139.54,2128.01,2140.24,2125.49
5/21/2015,2122.81,2139.68,2140.6,2121.49
5/22/2015,2146.1,2131.11,2146.1,2126.88
5/26/2015,2143.5,2146.47,2148.7,2130.3
5/27/2015,2107.5,2133.49,2134.95,2103.64
5/28/2015,2110.89,2117.77,2123.52,2110.89
5/29/2015,2114.8,2109.38,2123.39,2106.7
6/1/2015,2102.37,2110.12,2110.88,2086
6/2/2015,2078.64,2102.62,2107.17,2076.16
6/3/2015,2063.16,2078.51,2087.95,2059.34
6/4/2015,2072.86,2070.49,2082.6,2062.75
6/5/2015,2068.1,2062.22,2075.02,2060.91
6/8/2015,2065.19,2068.51,2068.51,2056.5
6/9/2015,2064.03,2063.4,2073.75,2057.21
6/10/2015,2051.32,2079.13,2080.03,2049.13
6/11/2015,2056.61,2065.07,2065.07,2051.1
6/12/2015,2052.17,2068.45,2074.78,2044.87
6/15/2015,2042.32,2041.07,2049.68,2033.72
6/16/2015,2028.72,2045.01,2045.77,2008.46
6/17/2015,2034.86,2035.48,2037.12,2021.5
6/18/2015,2041.88,2046.19,2052,2036.78
6/19/2015,2046.96,2056.54,2057.71,2044.71
6/22/2015,2055.16,2059.6,2068.07,2050.3
6/23/2015,2081.2,2071.3,2086.09,2066.21
6/24/2015,2085.53,2086.69,2087.68,2076.78
6/25/2015,2085.06,2077.84,2088.16,2073.95
6/26/2015,2090.26,2083.4,2097.01,2080.79
6/29/2015,2060.49,2056.44,2068.85,2054.33
6/30/2015,2074.2,2054.83,2075.02,2049.44
7/1/2015,2097.89,2077.27,2100.34,2072.54
7/2/2015,2107.33,2107.11,2110.81,2098.76
7/3/2015,2104.41,2107.51,2109.68,2094.02
7/6/2015,2053.93,2076.06,2089.86,2052.23
7/7/2015,2040.29,2067.04,2067.93,2028.98
7/8/2015,2016.21,2045.88,2046.33,2010.83
7/9/2015,2027.81,2000.19,2027.81,1983.78
7/10/2015,2031.17,2036.89,2037.84,2024.76
7/13/2015,2061.52,2033.25,2063.28,2030.21
7/14/2015,2059.23,2070.44,2070.44,2052.21
7/15/2015,2072.91,2068.38,2079.9,2060.66
7/16/2015,2087.89,2073.29,2088.33,2071.02
7/17/2015,2076.79,2101.22,2101.22,2068.36
7/20/2015,2073.31,2077.09,2081.43,2068.19
7/21/2015,2083.62,2082.18,2088.24,2069.21
7/22/2015,2064.73,2071.06,2075.94,2059.45
7/23/2015,2065.07,2068.93,2069.2,2053.52
7/24/2015,2045.96,2060.66,2060.66,2040.3
7/27/2015,2038.81,2034.82,2048.15,2032.44
7/28/2015,2039.1,2026.33,2045.55,2015.91
7/29/2015,2037.62,2053.62,2055.95,2037.62
7/30/2015,2019.03,2040.24,2044.93,2019.03
7/31/2015,2030.16,2026.98,2030.16,2004.7
8/3/2015,2008.49,2026.25,2026.25,2005.21
8/4/2015,2027.99,2007.75,2027.99,2007.66
8/5/2015,2029.76,2027.22,2035.25,2022.98
8/6/2015,2013.29,2037.26,2038.41,2011.6
8/7/2015,2010.23,2009.39,2012.9,2001.13
8/10/2015,2003.17,2008.44,2008.55,1993.96
8/11/2015,1986.65,2020.15,2021.81,1986.46
8/12/2015,1975.47,1980.04,1989.1,1948.91
8/13/2015,1983.46,1975.47,1990.7,1966.02
8/17/2015,1968.52,1991.05,1991.05,1968.44
8/18/2015,1956.26,1977.61,1979.33,1954.35
8/19/2015,1939.38,1954.56,1959.51,1915.91
8/20/2015,1914.55,1929.43,1933.79,1912.55
8/21/2015,1876.07,1862.79,1886.49,1856.91
8/24/2015,1829.81,1860.03,1872.86,1800.75
8/25/2015,1846.63,1840.94,1864.3,1806.79
8/26/2015,1894.09,1843.7,1895.45,1835.58
8/27/2015,1908,1912.42,1920.39,1898.98
8/28/2015,1937.67,1932.39,1938.61,1927.39
8/31/2015,1941.49,1934.12,1941.49,1925.52
9/1/2015,1914.23,1934.44,1939.67,1914.22
9/2/2015,1915.22,1886.14,1920.62,1883.5
9/3/2015,1915.53,1929.78,1931.19,1911.17
9/4/2015,1886.04,1921.81,1923.06,1879.94
9/7/2015,1883.22,1883.36,1895.99,1870.59
9/8/2015,1878.68,1889.14,1894.56,1868.48
9/9/2015,1934.2,1903.28,1934.2,1902.93
9/10/2015,1962.11,1918.42,1962.11,1915.44
9/11/2015,1941.37,1942.88,1951.26,1939.73
9/14/2015,1931.46,1947.65,1948.02,1921.45
9/15/2015,1937.56,1930.44,1938.9,1927.62
9/16/2015,1975.45,1949.49,1978.68,1949.15
9/17/2015,1976.49,1989.07,1989.07,1972.93
9/18/2015,1995.95,1978.39,1996.47,1964.12
9/21/2015,1964.68,1973.24,1980.8,1960.11
9/22/2015,1982.06,1973.54,1983.99,1966.05
9/23/2015,1944.64,1960.33,1968.16,1944.51
9/24/2015,1947.1,1956.94,1958.73,1944.31
9/25/2015,1942.85,1948.3,1951.94,1932.49
9/30/2015,1962.81,1915.46,1962.84,1915.04
10/1/2015,1979.32,1963.55,1986.01,1958.63
10/2/2015,1969.68,1979.41,1985.57,1969.68
10/5/2015,1978.25,1981.6,1994.65,1975.55
10/6/2015,1990.65,1996.29,1998.02,1985.17
10/7/2015,2005.84,1995.87,2006.24,1994.55
10/8/2015,2019.53,2016.36,2020.19,1998.66
10/12/2015,2021.63,2022.33,2030.92,2015.43
10/13/2015,2019.05,2021.2,2024.5,2010.16
